user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
R_2MKcrxXXBJYr3sl,23_hailing_0_103_103,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2MKcrxXXBJYr3sl,6_carla_0_103_103,BEAT2,adapter,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2MKcrxXXBJYr3sl,23_hailing_0_81_81,adapter,EMAGE,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2MKcrxXXBJYr3sl,16_jorge_0_1_1,EMAGE,adapter,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_24dDk3qB8aiiKwc,4_lawrence_0_81_81,adapter,BEAT2,model_a,False,"[""AmountIntensityOfMotion""]",
R_24dDk3qB8aiiKwc,27_yingqing_0_103_103,BEAT2,adapter,model_a,True,"[""RecognisableGestures""]",
R_24dDk3qB8aiiKwc,22_luqi_0_95_95,EMAGE,adapter,tie,False,[],
R_24dDk3qB8aiiKwc,5_stewart_0_7_7,EMAGE,BEAT2,model_b,True,"[""RecognisableGestures""]",
R_24dDk3qB8aiiKwc,1_wayne_0_4_4,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",
R_24dDk3qB8aiiKwc,3_solomon_0_111_111,adapter,EMAGE,model_b,False,"[""MotionSmoothness""]",
R_8GC6nxgOZotXnAO,23_hailing_0_111_111,adapter,BEAT2,model_b,True,"[""MotionSmoothness""]",more fluid continuation of motion compared to the other where different gestures felt pasted together with unnatural pauses between them.
R_8GC6nxgOZotXnAO,1_wayne_0_6_6,BEAT2,adapter,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]","Less unnatural pauses between motions; less ""returning to base pose"""
R_8GC6nxgOZotXnAO,7_sophie_0_65_65,EMAGE,adapter,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8GC6nxgOZotXnAO,10_kieks_0_95_95,EMAGE,adapter,model_a,False,[],Less repeated symmetrical motions
R_8GC6nxgOZotXnAO,2_scott_0_87_87,BEAT2,adapter,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",Less unnatural pauses between motions
R_8GC6nxgOZotXnAO,10_kieks_0_8_8,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""RecognisableGestures""]",Less unnatural symmetry of motion; less unnatural pauses between motions; less only finger wiggling
R_2rUDj6WhJd7crgz,10_kieks_0_73_73,adapter,BEAT2,model_b,True,"[""RecognisableGestures""]",
R_2rUDj6WhJd7crgz,2_scott_0_7_7,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2rUDj6WhJd7crgz,6_carla_0_87_87,EMAGE,BEAT2,tie,False,"[""RecognisableGestures""]",
R_2rUDj6WhJd7crgz,27_yingqing_0_65_65,adapter,BEAT2,model_a,True,"[""UnrealisticMotion""]",
R_2rUDj6WhJd7crgz,4_lawrence_0_95_95,EMAGE,BEAT2,model_a,False,"[""MotionSmoothness""]",
R_2rUDj6WhJd7crgz,5_stewart_0_8_8,adapter,EMAGE,model_a,False,"[""AmountIntensityOfMotion""]",
R_8r16zkcrb9qvpNW,4_lawrence_0_81_81,adapter,BEAT2,model_b,True,"[""UnrealisticMotion"", ""MotionSmoothness""]",
R_8r16zkcrb9qvpNW,27_yingqing_0_103_103,BEAT2,adapter,model_b,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8r16zkcrb9qvpNW,22_luqi_0_95_95,EMAGE,adapter,model_a,False,"[""RecognisableGestures""]",
R_8r16zkcrb9qvpNW,5_stewart_0_7_7,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",
R_8r16zkcrb9qvpNW,1_wayne_0_4_4,EMAGE,BEAT2,model_a,False,"[""RecognisableGestures""]",
R_8r16zkcrb9qvpNW,3_solomon_0_111_111,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2tDvhvSkRb0jIwV,11_nidal_0_73_73,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2tDvhvSkRb0jIwV,2_scott_0_65_65,adapter,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2tDvhvSkRb0jIwV,10_kieks_0_8_8,EMAGE,adapter,model_a,False,"[""MotionSmoothness""]",
R_2tDvhvSkRb0jIwV,28_tiffnay_0_2_2,EMAGE,BEAT2,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2tDvhvSkRb0jIwV,1_wayne_0_87_87,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2tDvhvSkRb0jIwV,6_carla_0_103_103,BEAT2,EMAGE,tie,False,[],
R_8PcMpp5uVGqgHtv,7_sophie_0_111_111,BEAT2,adapter,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8PcMpp5uVGqgHtv,1_wayne_0_4_4,EMAGE,adapter,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8PcMpp5uVGqgHtv,1_wayne_0_73_73,EMAGE,adapter,model_b,False,"[""MotionSmoothness""]",
R_8PcMpp5uVGqgHtv,1_wayne_0_65_65,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8PcMpp5uVGqgHtv,3_solomon_0_2_2,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8PcMpp5uVGqgHtv,2_scott_0_7_7,adapter,EMAGE,model_a,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,27_yingqing_0_73_73,BEAT2,EMAGE,model_b,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,10_kieks_0_8_8,BEAT2,EMAGE,tie,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,7_sophie_0_73_73,EMAGE,adapter,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,11_nidal_0_111_111,EMAGE,BEAT2,model_b,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,5_stewart_0_8_8,BEAT2,EMAGE,model_b,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8pWH0UALAZdTb3Z,16_jorge_0_65_65,BEAT2,adapter,model_b,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8htne0vfQW1cvmW,1_wayne_0_3_3,adapter,EMAGE,model_b,False,"[""RecognisableGestures""]",
R_8htne0vfQW1cvmW,28_tiffnay_0_73_73,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion""]",
R_8htne0vfQW1cvmW,27_yingqing_0_1_1,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8htne0vfQW1cvmW,16_jorge_0_1_1,BEAT2,adapter,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8htne0vfQW1cvmW,27_yingqing_0_103_103,adapter,EMAGE,tie,False,"[""AmountIntensityOfMotion""]",
R_8htne0vfQW1cvmW,6_carla_0_65_65,EMAGE,adapter,tie,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8NzaBn4IIDq5yQg,1_wayne_0_3_3,adapter,EMAGE,model_b,True,"[""MotionSmoothness""]",
R_8NzaBn4IIDq5yQg,28_tiffnay_0_73_73,EMAGE,BEAT2,model_b,False,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8NzaBn4IIDq5yQg,27_yingqing_0_1_1,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8NzaBn4IIDq5yQg,16_jorge_0_1_1,BEAT2,adapter,model_b,False,"[""RecognisableGestures""]",
R_8NzaBn4IIDq5yQg,27_yingqing_0_103_103,adapter,EMAGE,tie,False,[],
R_8NzaBn4IIDq5yQg,6_carla_0_65_65,EMAGE,adapter,model_b,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8aX3eWvrgstrww4,6_carla_0_87_87,adapter,EMAGE,model_a,False,"[""RecognisableGestures""]",
R_8aX3eWvrgstrww4,6_carla_0_65_65,adapter,BEAT2,model_a,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8aX3eWvrgstrww4,3_solomon_0_5_5,BEAT2,EMAGE,model_a,False,"[""UnrealisticMotion""]",
R_8aX3eWvrgstrww4,7_sophie_0_65_65,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness""]",
R_8aX3eWvrgstrww4,7_sophie_0_111_111,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8aX3eWvrgstrww4,1_wayne_0_3_3,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_2QMGRAbtJgTvGYF,7_sophie_0_65_65,BEAT2,adapter,model_a,True,"[""AmountIntensityOfMotion""]",
R_2QMGRAbtJgTvGYF,11_nidal_0_73_73,adapter,BEAT2,model_b,True,"[""RecognisableGestures""]",
R_2QMGRAbtJgTvGYF,2_scott_0_1_1,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2QMGRAbtJgTvGYF,6_carla_0_73_73,EMAGE,adapter,model_a,False,"[""RecognisableGestures""]",
R_2QMGRAbtJgTvGYF,23_hailing_0_95_95,adapter,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2QMGRAbtJgTvGYF,28_tiffnay_0_81_81,BEAT2,EMAGE,model_b,False,"[""AmountIntensityOfMotion""]",
R_2LwJpvX5c8Oa1pL,11_nidal_0_3_3,EMAGE,adapter,model_a,True,"[""UnrealisticMotion"", ""RecognisableGestures""]",
R_2LwJpvX5c8Oa1pL,11_nidal_0_81_81,EMAGE,BEAT2,model_a,True,"[""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2LwJpvX5c8Oa1pL,2_scott_0_2_2,BEAT2,EMAGE,model_a,False,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_2LwJpvX5c8Oa1pL,5_stewart_0_7_7,adapter,EMAGE,model_b,True,"[""UnrealisticMotion"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",The man on the left video makes multiple strange movements with his hands
R_2LwJpvX5c8Oa1pL,3_solomon_0_111_111,BEAT2,EMAGE,tie,False,"[""RecognisableGestures""]",The movements in both video's are recognizable and so both possible in real life.
R_2LwJpvX5c8Oa1pL,23_hailing_0_81_81,adapter,BEAT2,model_b,True,"[""UnrealisticMotion"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",The woman on the left video does not move much; only with her hands and fingers. This seems
R_2ILWeAMkNdDpstz,6_carla_0_87_87,adapter,EMAGE,model_a,False,"[""AmountIntensityOfMotion""]",
R_2ILWeAMkNdDpstz,6_carla_0_65_65,adapter,BEAT2,model_b,False,"[""MotionSmoothness""]",
R_2ILWeAMkNdDpstz,3_solomon_0_5_5,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_2ILWeAMkNdDpstz,7_sophie_0_65_65,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_2ILWeAMkNdDpstz,7_sophie_0_111_111,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness""]",
R_2ILWeAMkNdDpstz,1_wayne_0_3_3,BEAT2,EMAGE,model_a,True,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
R_8SbPOFs6Gnm9umd,4_lawrence_0_81_81,adapter,BEAT2,model_a,True,"[""MotionSmoothness"", ""RecognisableGestures""]",
R_8SbPOFs6Gnm9umd,27_yingqing_0_103_103,BEAT2,adapter,model_a,True,"[""MotionSmoothness""]",
R_8SbPOFs6Gnm9umd,22_luqi_0_95_95,EMAGE,adapter,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion"", ""RecognisableGestures""]",
R_8SbPOFs6Gnm9umd,5_stewart_0_7_7,EMAGE,BEAT2,tie,False,"[""MotionSmoothness"", ""AmountIntensityOfMotion""]",
