user,input_code,model_a,model_b,winner,is_strong,juiceOptions,juiceOtherReason
R_8fZhBZtRjKkQS8P,23_hailing_0_81_81,BEAT2_Mismatched,BEAT2,model_b,False,"[""BetterMatchContentMeaning""]",
R_8fZhBZtRjKkQS8P,4_lawrence_0_87_87,adapter,adapter_Mismatched,model_b,True,"[""FitRhythmTiming""]",
R_8fZhBZtRjKkQS8P,23_hailing_0_111_111,BEAT2,BEAT2_Mismatched,tie,False,[],Equal
R_8fZhBZtRjKkQS8P,28_tiffnay_0_65_65,BEAT2_Mismatched,BEAT2,model_b,True,"[""BetterFitForEmotion""]",
R_2IzR3mfJyWQ52zQ,4_lawrence_0_81_81,BEAT2_Mismatched,BEAT2,model_b,False,"[""BetterMatchContentMeaning""]",
R_2IzR3mfJyWQ52zQ,16_jorge_0_2_2,adapter_Mismatched,adapter,model_a,True,"[""BetterFitForEmotion""]",
R_2IzR3mfJyWQ52zQ,28_tiffnay_0_73_73,adapter,adapter_Mismatched,model_a,False,"[""EmphasizeCorrectParts""]",
R_2IzR3mfJyWQ52zQ,5_stewart_0_7_7,adapter,adapter_Mismatched,model_b,True,"[""BetterFitForEmotion""]",
R_2IzR3mfJyWQ52zQ,10_kieks_0_5_5,BEAT2_Mismatched,BEAT2,model_b,False,"[""BetterMatchContentMeaning""]",
R_2IzR3mfJyWQ52zQ,10_kieks_0_95_95,adapter,adapter_Mismatched,model_a,True,"[""BetterFitForEmotion""]",
R_80Yan1aN0MhDxHn,23_hailing_0_103_103,EMAGE_Mismatched,EMAGE,model_b,False,"[""BetterFitForEmotion""]",
R_80Yan1aN0MhDxHn,6_carla_0_103_103,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_80Yan1aN0MhDxHn,3_solomon_0_5_5,adapter,adapter_Mismatched,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_80Yan1aN0MhDxHn,27_yingqing_0_1_1,BEAT2,BEAT2_Mismatched,model_a,False,"[""BetterFitForEmotion""]",
R_80Yan1aN0MhDxHn,22_luqi_0_73_73,BEAT2,BEAT2_Mismatched,model_a,False,"[""BetterFitForEmotion""]",
R_80Yan1aN0MhDxHn,23_hailing_0_95_95,BEAT2,BEAT2_Mismatched,model_a,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_868ST5ouGw3RwUb,16_jorge_0_1_1,EMAGE,EMAGE_Mismatched,model_b,False,"[""FitRhythmTiming""]",speach and gesture slower
R_868ST5ouGw3RwUb,4_lawrence_0_81_81,EMAGE_Mismatched,EMAGE,tie,False,[],"Prononciacion is bad and not clear, can not inderstand what he says"
R_868ST5ouGw3RwUb,28_tiffnay_0_65_65,adapter_Mismatched,adapter,tie,False,[],Could not understand what she is saying in both video's
R_868ST5ouGw3RwUb,11_nidal_0_111_111,adapter,adapter_Mismatched,model_b,False,[],But also very difficult to understand 
R_868ST5ouGw3RwUb,7_sophie_0_65_65,EMAGE,EMAGE_Mismatched,tie,False,[],"Can not understand, not clear at all"
R_868ST5ouGw3RwUb,6_carla_0_65_65,EMAGE,EMAGE_Mismatched,model_b,False,[],"Talking to quick, difficult to understand, just a few words here and there"
R_8KcYieCU9V4pg6W,16_jorge_0_103_103,adapter,adapter_Mismatched,model_b,True,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8KcYieCU9V4pg6W,10_kieks_0_73_73,BEAT2,BEAT2_Mismatched,tie,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8KcYieCU9V4pg6W,1_wayne_0_6_6,adapter_Mismatched,adapter,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8KcYieCU9V4pg6W,11_nidal_0_111_111,EMAGE_Mismatched,EMAGE,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8KcYieCU9V4pg6W,16_jorge_0_103_103,BEAT2_Mismatched,BEAT2,model_b,True,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8KcYieCU9V4pg6W,4_lawrence_0_95_95,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming""]",
R_2G6ZsF0eRh7UbrW,3_solomon_0_5_5,BEAT2_Mismatched,BEAT2,tie,False,[],graag nederlandse teksten-bij deze kan ik niet op inhoud beoordelen
R_2G6ZsF0eRh7UbrW,28_tiffnay_0_2_2,BEAT2_Mismatched,BEAT2,model_b,False,"[""FitRhythmTiming""]",
R_2G6ZsF0eRh7UbrW,7_sophie_0_111_111,BEAT2_Mismatched,BEAT2,model_a,False,"[""BetterMatchContentMeaning""]",
R_2G6ZsF0eRh7UbrW,27_yingqing_0_103_103,adapter,adapter_Mismatched,tie,False,[],
R_2G6ZsF0eRh7UbrW,5_stewart_0_103_103,EMAGE_Mismatched,EMAGE,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_2G6ZsF0eRh7UbrW,6_carla_0_65_65,BEAT2_Mismatched,BEAT2,model_b,True,"[""EmphasizeCorrectParts""]",
R_8cRLaMw18ykX8Lq,2_scott_0_87_87,EMAGE_Mismatched,EMAGE,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8cRLaMw18ykX8Lq,10_kieks_0_73_73,EMAGE,EMAGE_Mismatched,tie,False,[],
R_8cRLaMw18ykX8Lq,3_solomon_0_2_2,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8cRLaMw18ykX8Lq,23_hailing_0_81_81,EMAGE,EMAGE_Mismatched,tie,False,[],
R_8cRLaMw18ykX8Lq,3_solomon_0_111_111,adapter,adapter_Mismatched,tie,False,[],
R_8cRLaMw18ykX8Lq,28_tiffnay_0_73_73,EMAGE_Mismatched,EMAGE,tie,False,[],
R_8ErRHlRqji1qqK8,23_hailing_0_95_95,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_8ErRHlRqji1qqK8,6_carla_0_103_103,adapter,adapter_Mismatched,model_b,True,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8ErRHlRqji1qqK8,1_wayne_0_3_3,adapter,adapter_Mismatched,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8ErRHlRqji1qqK8,7_sophie_0_73_73,BEAT2_Mismatched,BEAT2,tie,False,"[""BetterFitForEmotion""]",
R_8ErRHlRqji1qqK8,22_luqi_0_95_95,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8ErRHlRqji1qqK8,4_lawrence_0_65_65,adapter,adapter_Mismatched,model_a,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_2MKcrxXXBJYr3sl,22_luqi_0_95_95,EMAGE_Mismatched,EMAGE,model_a,False,"[""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_2MKcrxXXBJYr3sl,3_solomon_0_111_111,BEAT2_Mismatched,BEAT2,tie,False,"[""BetterFitForEmotion""]",
R_2MKcrxXXBJYr3sl,16_jorge_0_1_1,BEAT2,BEAT2_Mismatched,model_b,False,"[""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_2MKcrxXXBJYr3sl,4_lawrence_0_65_65,EMAGE_Mismatched,EMAGE,tie,False,"[""EmphasizeCorrectParts""]",
R_2MKcrxXXBJYr3sl,11_nidal_0_73_73,EMAGE_Mismatched,EMAGE,model_b,False,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_2MKcrxXXBJYr3sl,1_wayne_0_6_6,EMAGE,EMAGE_Mismatched,tie,False,"[""BetterFitForEmotion""]",
R_24dDk3qB8aiiKwc,22_luqi_0_103_103,BEAT2,BEAT2_Mismatched,tie,False,[],"Geen idee, slecht te verstaan"
R_24dDk3qB8aiiKwc,10_kieks_0_73_73,adapter,adapter_Mismatched,model_b,False,"[""FitRhythmTiming""]",
R_24dDk3qB8aiiKwc,2_scott_0_2_2,BEAT2,BEAT2_Mismatched,model_a,True,"[""EmphasizeCorrectParts""]",
R_24dDk3qB8aiiKwc,11_nidal_0_81_81,BEAT2,BEAT2_Mismatched,model_b,False,[],
R_24dDk3qB8aiiKwc,10_kieks_0_5_5,EMAGE,EMAGE_Mismatched,model_a,True,"[""EmphasizeCorrectParts""]",
R_24dDk3qB8aiiKwc,6_carla_0_103_103,EMAGE_Mismatched,EMAGE,tie,False,[],"Allebei even slecht, bewegingen passen niet bij verhaal"
R_8GC6nxgOZotXnAO,16_jorge_0_1_1,EMAGE,EMAGE_Mismatched,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8GC6nxgOZotXnAO,4_lawrence_0_81_81,EMAGE_Mismatched,EMAGE,model_a,True,"[""BetterFitForEmotion""]",
R_8GC6nxgOZotXnAO,28_tiffnay_0_65_65,adapter_Mismatched,adapter,tie,False,"[""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_8GC6nxgOZotXnAO,11_nidal_0_111_111,adapter,adapter_Mismatched,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8GC6nxgOZotXnAO,7_sophie_0_65_65,EMAGE,EMAGE_Mismatched,model_b,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_8GC6nxgOZotXnAO,6_carla_0_65_65,EMAGE,EMAGE_Mismatched,tie,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2rUDj6WhJd7crgz,5_stewart_0_65_65,BEAT2_Mismatched,BEAT2,model_a,False,"[""BetterMatchContentMeaning""]",
R_2rUDj6WhJd7crgz,1_wayne_0_87_87,adapter,adapter_Mismatched,model_a,True,"[""BetterMatchContentMeaning""]",
R_2rUDj6WhJd7crgz,27_yingqing_0_1_1,EMAGE,EMAGE_Mismatched,tie,False,[],Does not fit either
R_2rUDj6WhJd7crgz,3_solomon_0_2_2,EMAGE_Mismatched,EMAGE,model_b,False,"[""FitRhythmTiming""]",
R_2rUDj6WhJd7crgz,2_scott_0_7_7,EMAGE,EMAGE_Mismatched,model_b,True,"[""FitRhythmTiming""]",
R_2rUDj6WhJd7crgz,5_stewart_0_103_103,adapter,adapter_Mismatched,model_b,False,"[""BetterMatchContentMeaning""]",
R_8r16zkcrb9qvpNW,28_tiffnay_0_81_81,adapter_Mismatched,adapter,model_a,True,"[""FitRhythmTiming""]",
R_8r16zkcrb9qvpNW,7_sophie_0_111_111,adapter_Mismatched,adapter,model_a,True,"[""BetterMatchContentMeaning""]",
R_8r16zkcrb9qvpNW,23_hailing_0_81_81,BEAT2_Mismatched,BEAT2,model_a,False,"[""EmphasizeCorrectParts""]",
R_8r16zkcrb9qvpNW,4_lawrence_0_87_87,adapter,adapter_Mismatched,model_b,False,"[""BetterMatchContentMeaning""]",
R_8r16zkcrb9qvpNW,23_hailing_0_111_111,BEAT2,BEAT2_Mismatched,model_a,False,"[""EmphasizeCorrectParts""]",
R_8r16zkcrb9qvpNW,28_tiffnay_0_65_65,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming""]",
R_2tDvhvSkRb0jIwV,27_yingqing_0_65_65,EMAGE,EMAGE_Mismatched,model_b,False,"[""FitRhythmTiming""]",
R_2tDvhvSkRb0jIwV,16_jorge_0_103_103,EMAGE,EMAGE_Mismatched,model_a,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_2tDvhvSkRb0jIwV,1_wayne_0_4_4,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_2tDvhvSkRb0jIwV,6_carla_0_87_87,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_2tDvhvSkRb0jIwV,5_stewart_0_8_8,EMAGE,EMAGE_Mismatched,model_b,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_2tDvhvSkRb0jIwV,2_scott_0_111_111,adapter_Mismatched,adapter,model_a,False,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8PcMpp5uVGqgHtv,11_nidal_0_3_3,EMAGE_Mismatched,EMAGE,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8PcMpp5uVGqgHtv,28_tiffnay_0_65_65,EMAGE,EMAGE_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8PcMpp5uVGqgHtv,11_nidal_0_73_73,BEAT2,BEAT2_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8PcMpp5uVGqgHtv,11_nidal_0_73_73,adapter,adapter_Mismatched,model_a,False,"[""FitRhythmTiming""]",
R_8PcMpp5uVGqgHtv,22_luqi_0_95_95,adapter_Mismatched,adapter,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterFitForEmotion""]",
R_8PcMpp5uVGqgHtv,6_carla_0_65_65,adapter,adapter_Mismatched,model_a,False,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8pWH0UALAZdTb3Z,7_sophie_0_8_8,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8pWH0UALAZdTb3Z,1_wayne_0_81_81,EMAGE_Mismatched,EMAGE,model_b,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning""]",
R_8pWH0UALAZdTb3Z,3_solomon_0_4_4,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8pWH0UALAZdTb3Z,1_wayne_0_3_3,EMAGE,EMAGE_Mismatched,model_b,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_8pWH0UALAZdTb3Z,10_kieks_0_8_8,EMAGE_Mismatched,EMAGE,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8pWH0UALAZdTb3Z,11_nidal_0_111_111,BEAT2,BEAT2_Mismatched,model_b,False,"[""BetterMatchContentMeaning""]",
R_8htne0vfQW1cvmW,5_stewart_0_65_65,BEAT2_Mismatched,BEAT2,model_a,False,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8htne0vfQW1cvmW,1_wayne_0_87_87,adapter,adapter_Mismatched,model_a,True,"[""BetterFitForEmotion""]",
R_8htne0vfQW1cvmW,27_yingqing_0_1_1,EMAGE,EMAGE_Mismatched,tie,False,[],
R_8htne0vfQW1cvmW,3_solomon_0_2_2,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming""]",
R_8htne0vfQW1cvmW,2_scott_0_7_7,EMAGE,EMAGE_Mismatched,model_a,False,"[""FitRhythmTiming""]",
R_8htne0vfQW1cvmW,5_stewart_0_103_103,adapter,adapter_Mismatched,model_b,False,"[""EmphasizeCorrectParts""]",
R_8NzaBn4IIDq5yQg,28_tiffnay_0_81_81,adapter_Mismatched,adapter,model_a,False,"[""FitRhythmTiming""]",
R_8NzaBn4IIDq5yQg,7_sophie_0_111_111,adapter_Mismatched,adapter,model_b,False,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_8NzaBn4IIDq5yQg,23_hailing_0_81_81,BEAT2_Mismatched,BEAT2,model_a,True,"[""FitRhythmTiming"", ""EmphasizeCorrectParts""]",
R_8NzaBn4IIDq5yQg,4_lawrence_0_87_87,adapter,adapter_Mismatched,model_b,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8NzaBn4IIDq5yQg,23_hailing_0_111_111,BEAT2,BEAT2_Mismatched,model_b,False,"[""FitRhythmTiming""]",
R_8NzaBn4IIDq5yQg,28_tiffnay_0_65_65,BEAT2_Mismatched,BEAT2,tie,False,[],
R_8aX3eWvrgstrww4,4_lawrence_0_81_81,BEAT2_Mismatched,BEAT2,model_b,False,"[""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
R_8aX3eWvrgstrww4,16_jorge_0_2_2,adapter_Mismatched,adapter,model_a,True,"[""BetterFitForEmotion""]",
R_8aX3eWvrgstrww4,28_tiffnay_0_73_73,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterFitForEmotion""]",
R_8aX3eWvrgstrww4,5_stewart_0_7_7,adapter,adapter_Mismatched,model_a,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_8aX3eWvrgstrww4,10_kieks_0_5_5,BEAT2_Mismatched,BEAT2,model_b,True,"[""FitRhythmTiming"", ""BetterMatchContentMeaning""]",
R_8aX3eWvrgstrww4,10_kieks_0_95_95,adapter,adapter_Mismatched,model_b,False,"[""EmphasizeCorrectParts""]",
R_2QMGRAbtJgTvGYF,27_yingqing_0_73_73,EMAGE,EMAGE_Mismatched,tie,False,"[""FitRhythmTiming""]",
R_2QMGRAbtJgTvGYF,27_yingqing_0_73_73,adapter_Mismatched,adapter,tie,False,"[""FitRhythmTiming""]",
R_2QMGRAbtJgTvGYF,7_sophie_0_111_111,EMAGE_Mismatched,EMAGE,model_a,False,"[""FitRhythmTiming""]",
R_2QMGRAbtJgTvGYF,23_hailing_0_111_111,EMAGE,EMAGE_Mismatched,tie,False,[],
R_2QMGRAbtJgTvGYF,7_sophie_0_8_8,EMAGE_Mismatched,EMAGE,model_a,False,"[""BetterMatchContentMeaning""]",
R_2QMGRAbtJgTvGYF,11_nidal_0_81_81,adapter_Mismatched,adapter,model_b,False,"[""BetterMatchContentMeaning""]",
R_2LwJpvX5c8Oa1pL,5_stewart_0_65_65,BEAT2_Mismatched,BEAT2,model_b,False,"[""EmphasizeCorrectParts"", ""BetterMatchContentMeaning"", ""BetterFitForEmotion""]",
